 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot       VmagSn      VmagOb
 2025-Dec-18 05:30     10 50 49.71 +06 41 50.2  1.79798981341827  -1.8413478   64.3986199  66.0601374
 2025-Dec-18 05:31     10 50 49.51 +06 41 51.2  1.79798907526048  -1.8398862   64.3985661  66.0618781
 2025-Dec-18 05:32     10 50 49.32 +06 41 52.2  1.79798833769015  -1.8384180   64.3985124  66.0636164
 2025-Dec-18 05:33     10 50 49.13 +06 41 53.2  1.79798760071000  -1.8369430   64.3984586  66.0653523
 2025-Dec-18 05:34     10 50 48.94 +06 41 54.2  1.79798686432271  -1.8354614   64.3984049  66.0670858
 2025-Dec-18 05:35     10 50 48.74 +06 41 55.2  1.79798612853097  -1.8339730   64.3983511  66.0688169
 2025-Dec-18 05:36     10 50 48.55 +06 41 56.1  1.79798539333745  -1.8324780   64.3982974  66.0705456
 2025-Dec-18 05:37     10 50 48.36 +06 41 57.1  1.79798465874484  -1.8309763   64.3982437  66.0722717
 2025-Dec-18 05:38     10 50 48.16 +06 41 58.1  1.79798392475581  -1.8294679   64.3981899  66.0739954
 2025-Dec-18 05:39     10 50 47.97 +06 41 59.1  1.79798319137303  -1.8279529   64.3981362  66.0757165
 2025-Dec-18 05:40     10 50 47.78 +06 42 00.1  1.79798245859917  -1.8264312   64.3980824  66.0774350
 2025-Dec-18 05:41     10 50 47.58 +06 42 01.1  1.79798172643690  -1.8249029   64.3980287  66.0791509
 2025-Dec-18 05:42     10 50 47.39 +06 42 02.1  1.79798099488887  -1.8233680   64.3979750  66.0808643
 2025-Dec-18 05:43     10 50 47.20 +06 42 03.0  1.79798026395774  -1.8218264   64.3979212  66.0825749
 2025-Dec-18 05:44     10 50 47.01 +06 42 04.0  1.79797953364615  -1.8202782   64.3978675  66.0842830
 2025-Dec-18 05:45     10 50 46.81 +06 42 05.0  1.79797880395676  -1.8187235   64.3978137  66.0859883
 2025-Dec-18 05:46     10 50 46.62 +06 42 06.0  1.79797807489221  -1.8171622   64.3977600  66.0876909
 2025-Dec-18 05:47     10 50 46.43 +06 42 07.0  1.79797734645513  -1.8155943   64.3977063  66.0893907
 2025-Dec-18 05:48     10 50 46.23 +06 42 08.0  1.79797661864816  -1.8140198   64.3976525  66.0910878
 2025-Dec-18 05:49     10 50 46.04 +06 42 08.9  1.79797589147393  -1.8124388   64.3975988  66.0927821
 2025-Dec-18 05:50     10 50 45.85 +06 42 09.9  1.79797516493507  -1.8108512   64.3975451  66.0944735
 2025-Dec-18 05:51     10 50 45.65 +06 42 10.9  1.79797443903418  -1.8092571   64.3974913  66.0961621
 2025-Dec-18 05:52     10 50 45.46 +06 42 11.9  1.79797371377389  -1.8076565   64.3974376  66.0978478
 2025-Dec-18 05:53     10 50 45.27 +06 42 12.9  1.79797298915682  -1.8060494   64.3973839  66.0995306
 2025-Dec-18 05:54     10 50 45.08 +06 42 13.9  1.79797226518556  -1.8044358   64.3973301  66.1012105
 2025-Dec-18 05:55     10 50 44.88 +06 42 14.9  1.79797154186271  -1.8028157   64.3972764  66.1028874
 2025-Dec-18 05:56     10 50 44.69 +06 42 15.8  1.79797081919089  -1.8011892   64.3972227  66.1045614
 2025-Dec-18 05:57     10 50 44.50 +06 42 16.8  1.79797009717266  -1.7995562   64.3971689  66.1062323
 2025-Dec-18 05:58     10 50 44.30 +06 42 17.8  1.79796937581064  -1.7979167   64.3971152  66.1079002
 2025-Dec-18 05:59     10 50 44.11 +06 42 18.8  1.79796865510739  -1.7962708   64.3970615  66.1095651
 2025-Dec-18 06:00     10 50 43.92 +06 42 19.8  1.79796793506549  -1.7946185   64.3970078  66.1112268
 2025-Dec-18 06:01     10 50 43.72 +06 42 20.8  1.79796721568751  -1.7929598   64.3969540  66.1128855
 2025-Dec-18 06:02     10 50 43.53 +06 42 21.8  1.79796649697604  -1.7912947   64.3969003  66.1145410
 2025-Dec-18 06:03     10 50 43.34 +06 42 22.7  1.79796577893361  -1.7896232   64.3968466  66.1161933
 2025-Dec-18 06:04     10 50 43.14 +06 42 23.7  1.79796506156280  -1.7879453   64.3967929  66.1178425
 2025-Dec-18 06:05     10 50 42.95 +06 42 24.7  1.79796434486615  -1.7862611   64.3967391  66.1194885
 2025-Dec-18 06:06     10 50 42.76 +06 42 25.7  1.79796362884621  -1.7845705   64.3966854  66.1211312
 2025-Dec-18 06:07     10 50 42.56 +06 42 26.7  1.79796291350552  -1.7828737   64.3966317  66.1227707
 2025-Dec-18 06:08     10 50 42.37 +06 42 27.7  1.79796219884662  -1.7811704   64.3965780  66.1244068
 2025-Dec-18 06:09     10 50 42.18 +06 42 28.7  1.79796148487203  -1.7794609   64.3965242  66.1260397
 2025-Dec-18 06:10     10 50 41.99 +06 42 29.6  1.79796077158429  -1.7777451   64.3964705  66.1276693
 2025-Dec-18 06:11     10 50 41.79 +06 42 30.6  1.79796005898591  -1.7760231   64.3964168  66.1292954
 2025-Dec-18 06:12     10 50 41.60 +06 42 31.6  1.79795934707940  -1.7742947   64.3963631  66.1309182
 2025-Dec-18 06:13     10 50 41.41 +06 42 32.6  1.79795863586728  -1.7725601   64.3963094  66.1325376
 2025-Dec-18 06:14     10 50 41.21 +06 42 33.6  1.79795792535205  -1.7708193   64.3962556  66.1341536
 2025-Dec-18 06:15     10 50 41.02 +06 42 34.6  1.79795721553619  -1.7690723   64.3962019  66.1357661
 2025-Dec-18 06:16     10 50 40.83 +06 42 35.6  1.79795650642221  -1.7673191   64.3961482  66.1373751
 2025-Dec-18 06:17     10 50 40.63 +06 42 36.5  1.79795579801259  -1.7655596   64.3960945  66.1389806
 2025-Dec-18 06:18     10 50 40.44 +06 42 37.5  1.79795509030981  -1.7637940   64.3960408  66.1405825
 2025-Dec-18 06:19     10 50 40.25 +06 42 38.5  1.79795438331634  -1.7620223   64.3959871  66.1421810
 2025-Dec-18 06:20     10 50 40.05 +06 42 39.5  1.79795367703465  -1.7602443   64.3959333  66.1437758
 2025-Dec-18 06:21     10 50 39.86 +06 42 40.5  1.79795297146720  -1.7584603   64.3958796  66.1453670
 2025-Dec-18 06:22     10 50 39.67 +06 42 41.5  1.79795226661645  -1.7566701   64.3958259  66.1469547
 2025-Dec-18 06:23     10 50 39.47 +06 42 42.5  1.79795156248484  -1.7548739   64.3957722  66.1485386
 2025-Dec-18 06:24     10 50 39.28 +06 42 43.4  1.79795085907483  -1.7530715   64.3957185  66.1501189
 2025-Dec-18 06:25     10 50 39.09 +06 42 44.4  1.79795015638884  -1.7512631   64.3956648  66.1516955
 2025-Dec-18 06:26     10 50 38.89 +06 42 45.4  1.79794945442931  -1.7494487   64.3956111  66.1532684
 2025-Dec-18 06:27     10 50 38.70 +06 42 46.4  1.79794875319866  -1.7476282   64.3955574  66.1548375
 2025-Dec-18 06:28     10 50 38.51 +06 42 47.4  1.79794805269932  -1.7458016   64.3955037  66.1564028
 2025-Dec-18 06:29     10 50 38.31 +06 42 48.4  1.79794735293368  -1.7439691   64.3954499  66.1579644
 2025-Dec-18 06:30     10 50 38.12 +06 42 49.4  1.79794665390417  -1.7421306   64.3953962  66.1595221
 2025-Dec-18 06:31     10 50 37.93 +06 42 50.3  1.79794595561318  -1.7402861   64.3953425  66.1610760
 2025-Dec-18 06:32     10 50 37.73 +06 42 51.3  1.79794525806309  -1.7384356   64.3952888  66.1626260
 2025-Dec-18 06:33     10 50 37.54 +06 42 52.3  1.79794456125630  -1.7365792   64.3952351  66.1641722
 2025-Dec-18 06:34     10 50 37.35 +06 42 53.3  1.79794386519519  -1.7347169   64.3951814  66.1657144
 2025-Dec-18 06:35     10 50 37.15 +06 42 54.3  1.79794316988213  -1.7328487   64.3951277  66.1672527
 2025-Dec-18 06:36     10 50 36.96 +06 42 55.3  1.79794247531948  -1.7309746   64.3950740  66.1687871
 2025-Dec-18 06:37     10 50 36.77 +06 42 56.2  1.79794178150961  -1.7290946   64.3950203  66.1703175
 2025-Dec-18 06:38     10 50 36.57 +06 42 57.2  1.79794108845486  -1.7272087   64.3949666  66.1718438
 2025-Dec-18 06:39     10 50 36.38 +06 42 58.2  1.79794039615759  -1.7253170   64.3949129  66.1733662
 2025-Dec-18 06:40     10 50 36.19 +06 42 59.2  1.79793970462013  -1.7234195   64.3948592  66.1748845
 2025-Dec-18 06:41     10 50 35.99 +06 43 00.2  1.79793901384482  -1.7215162   64.3948055  66.1763987
 2025-Dec-18 06:42     10 50 35.80 +06 43 01.2  1.79793832383398  -1.7196070   64.3947518  66.1779089
 2025-Dec-18 06:43     10 50 35.61 +06 43 02.2  1.79793763458992  -1.7176922   64.3946981  66.1794149
 2025-Dec-18 06:44     10 50 35.41 +06 43 03.1  1.79793694611496  -1.7157715   64.3946444  66.1809168
 2025-Dec-18 06:45     10 50 35.22 +06 43 04.1  1.79793625841141  -1.7138451   64.3945907  66.1824145
 2025-Dec-18 06:46     10 50 35.03 +06 43 05.1  1.79793557148155  -1.7119130   64.3945370  66.1839081
 2025-Dec-18 06:47     10 50 34.83 +06 43 06.1  1.79793488532769  -1.7099752   64.3944833  66.1853974
 2025-Dec-18 06:48     10 50 34.64 +06 43 07.1  1.79793419995209  -1.7080318   64.3944296  66.1868825
 2025-Dec-18 06:49     10 50 34.45 +06 43 08.1  1.79793351535705  -1.7060826   64.3943759  66.1883634
 2025-Dec-18 06:50     10 50 34.25 +06 43 09.1  1.79793283154482  -1.7041278   64.3943222  66.1898400
 2025-Dec-18 06:51     10 50 34.06 +06 43 10.0  1.79793214851766  -1.7021674   64.3942685  66.1913123
 2025-Dec-18 06:52     10 50 33.87 +06 43 11.0  1.79793146627784  -1.7002014   64.3942148  66.1927803
 2025-Dec-18 06:53     10 50 33.67 +06 43 12.0  1.79793078482758  -1.6982298   64.3941611  66.1942440
 2025-Dec-18 06:54     10 50 33.48 +06 43 13.0  1.79793010416915  -1.6962526   64.3941074  66.1957033
 2025-Dec-18 06:55     10 50 33.29 +06 43 14.0  1.79792942430475  -1.6942698   64.3940538  66.1971582
 2025-Dec-18 06:56     10 50 33.09 +06 43 15.0  1.79792874523662  -1.6922816   64.3940001  66.1986088
 2025-Dec-18 06:57     10 50 32.90 +06 43 16.0  1.79792806696698  -1.6902878   64.3939464  66.2000549
 2025-Dec-18 06:58     10 50 32.71 +06 43 16.9  1.79792738949802  -1.6882885   64.3938927  66.2014966
 2025-Dec-18 06:59     10 50 32.51 +06 43 17.9  1.79792671283196  -1.6862837   64.3938390  66.2029338
 2025-Dec-18 07:00     10 50 32.32 +06 43 18.9  1.79792603697097  -1.6842735   64.3937853  66.2043665
 2025-Dec-18 07:01     10 50 32.13 +06 43 19.9  1.79792536191726  -1.6822579   64.3937316  66.2057947
 2025-Dec-18 07:02     10 50 31.93 +06 43 20.9  1.79792468767299  -1.6802368   64.3936779  66.2072184
